age,death_prob,ly,le,sex
93,0.180371,18027,3.84,female
94,0.198714,14775,3.57,female
95,0.217264,11839,3.34,female
96,0.235735,9267,3.12,female
97,0.25381,7083,2.93,female
98,0.271155,5285,2.76,female
99,0.287424,3852,2.6,female
100,0.30467,2745,2.45,female
101,0.32295,1909,2.3,female
102,0.342327,1292,2.17,female
103,0.362867,850,2.03,female
104,0.384639,541,1.91,female
105,0.407717,333,1.78,female
106,0.43218,197,1.67,female
107,0.458111,112,1.56,female
108,0.485597,61,1.45,female
109,0.514733,31,1.35,female
110,0.545617,15,1.26,female
111,0.578354,7,1.17,female
112,0.613055,3,1.08,female
113,0.649839,1,1,female
114,0.688829,0,0.92,female
115,0.730159,0,0.85,female
116,0.771736,0,0.78,female
117,0.810323,0,0.72,female
118,0.850839,0,0.67,female
119,0.893381,0,0.61,female
